gene_id	E000	E003	E004	E005	E006	E007	E011	E012	E013	E016	E024	E027	E028	E037	E038	E047	E050	E053	E054	E055	E056	E057	E058	E059	E061	E062	E065	E066	E070	E071	E079	E082	E084	E085	E087	E094	E095	E096	E097	E098	E100	E104	E105	E106	E109	E112	E113	E114	E116	E117	E118	E119	E120	E122	E123	E127	E128
ENSG00000005022	346.322	281.732	341.017	174.936	149.952	207.128	163.790	152.346	203.358	302.221	216.665	222.305	255.248	127.908	115.297	130.188	281.327	154.260	178.005	225.274	346.608	416.011	312.196	688.793	494.349	173.817	404.128	345.410	189.300	87.172	144.539	65.270	283.575	316.165	272.515	624.194	271.659	150.343	122.154	136.820	40.940	97.882	317.962	693.443	641.201	177.178	209.504	453.809	245.466	363.616	308.007	579.936	217.723	453.416	401.333	331.893	200.428	
ENSG00000009307	167.932	173.543	234.678	176.459	175.547	284.100	162.277	193.671	164.047	188.138	150.144	124.522	233.921	200.581	197.956	194.833	243.309	95.032	104.663	119.673	55.133	60.852	143.638	54.146	90.281	149.829	654.834	114.270	91.789	106.433	124.291	131.645	143.517	151.125	129.866	195.592	200.837	116.351	175.013	69.767	743.666	168.972	173.713	107.953	122.623	140.314	110.570	104.496	201.286	192.845	86.199	107.087	200.908	69.718	183.071	131.552	176.088	
ENSG00000011052	225.937	271.406	354.808	183.454	277.778	212.517	115.480	101.338	137.316	184.576	158.111	213.732	141.362	39.502	37.260	39.156	180.598	75.400	67.629	211.433	372.390	419.250	212.875	182.896	163.584	43.445	329.883	92.545	91.975	96.075	197.579	79.161	76.476	67.206	114.701	361.483	174.871	261.081	196.839	159.319	160.906	132.053	260.347	198.275	276.344	105.420	232.936	366.946	219.525	282.880	258.477	346.935	207.955	248.627	363.077	309.435	180.062	
ENSG00000011304	235.250	257.242	402.236	261.008	104.964	211.700	259.466	243.593	172.808	308.448	318.931	159.441	96.432	109.999	98.159	102.953	96.027	122.007	105.954	175.127	359.235	354.477	224.470	257.514	157.047	109.094	38.724	51.041	85.529	28.135	73.851	22.780	118.881	128.715	105.141	90.114	32.194	93.550	86.723	87.303	17.319	29.274	45.043	106.305	125.424	90.353	113.171	69.382	46.437	56.798	119.295	108.378	60.059	211.352	100.015	80.572	50.105	
ENSG00000013306	160.719	130.032	126.299	63.574	48.241	68.622	49.417	56.894	52.291	97.405	132.437	114.442	103.009	44.979	42.715	69.594	45.772	69.082	64.742	74.168	144.686	280.639	126.994	427.754	159.445	51.298	60.251	71.218	63.040	62.003	102.556	44.496	57.379	51.682	105.156	189.345	63.822	122.736	41.822	183.417	32.454	63.285	91.956	119.878	142.847	73.263	181.849	56.556	34.831	65.526	137.474	148.424	52.657	120.418	134.115	112.987	30.451	
ENSG00000023734	111.188	117.712	186.757	127.058	125.874	166.333	141.954	134.845	139.315	157.494	102.770	107.259	114.878	73.898	62.094	58.282	87.410	52.053	56.144	69.356	69.802	61.538	102.357	60.759	83.855	54.703	116.634	70.692	57.547	53.222	52.366	40.909	53.484	47.592	78.783	97.290	144.644	46.117	54.601	36.036	163.568	79.864	119.729	62.054	88.056	76.221	54.339	136.956	87.679	126.093	51.206	117.949	160.981	62.150	75.226	114.742	116.322	
ENSG00000026025	610.543	56.516	101.338	131.072	1708.150	255.730	524.748	265.623	2490.460	250.430	47.228	197.905	496.043	344.782	209.148	238.460	1101.680	1345.610	1262.090	3259.410	2969.600	607.497	126.787	1287.020	1602.900	570.160	1174.750	80.130	334.088	82.451	254.396	168.357	168.993	77.448	101.812	185.620	129.954	364.045	2228.310	97.974	51.076	275.781	261.981	146.219	193.366	300.704	284.786	241.040	59.843	85.758	0.006	639.503	749.499	1794.050	153.945	239.151	1656.880	
ENSG00000030582	180.810	162.803	65.842	141.349	317.063	38.122	55.304	58.651	115.276	54.149	122.360	50.078	280.373	22.700	16.556	23.043	60.841	119.556	97.711	231.927	481.522	360.988	196.448	1178.080	535.658	342.742	109.031	161.661	38.381	33.055	179.186	22.152	274.750	506.830	194.085	96.569	64.710	141.069	80.650	52.036	32.297	87.373	81.896	178.905	117.761	71.556	204.716	95.249	26.073	26.901	149.146	292.358	139.571	871.382	34.975	225.317	99.082	
ENSG00000034510	1517.650	615.245	1008.449	1368.480	2382.480	1134.300	1894.200	1101.840	2935.310	1061.460	629.859	1030.800	2424.370	1754.780	1885.530	1586.830	672.797	758.096	462.993	2626.630	3937.550	4598.710	2560.650	1102.560	1058.720	1885.610	1458.420	907.277	3282.390	1764.000	1117.170	2225.470	593.469	504.096	489.115	2577.610	429.032	3764.130	2151.720	891.128	144.197	419.073	992.018	1797.530	1758.280	2866.410	1697.910	1513.860	1146.470	594.796	430.575	5539.890	4733.430	1364.120	301.136	2609.690	4003.370	
ENSG00000042753	125.318	108.321	96.053	121.791	175.968	80.506	89.111	105.312	182.275	167.876	87.390	59.846	100.300	14.447	14.150	15.509	36.053	71.565	56.400	171.784	393.037	328.307	152.200	492.590	189.812	41.680	125.014	220.490	82.471	136.906	71.040	61.371	44.739	50.566	71.307	150.859	99.177	110.193	51.489	55.133	67.905	76.039	146.207	115.505	129.920	70.317	124.524	102.574	54.254	65.842	48.200	269.018	148.132	326.329	137.227	170.024	149.835	
ENSG00000044574	219.564	438.702	303.351	552.990	334.670	73.056	208.620	135.635	433.841	229.664	261.919	1440.700	733.088	220.635	137.867	140.957	1153.980	117.578	93.324	225.781	146.323	458.876	693.009	105.342	153.147	130.312	132.221	154.019	41.311	97.724	95.662	36.017	203.764	209.936	1212.250	151.617	705.271	149.947	127.499	86.714	78.481	275.272	931.175	182.473	218.785	116.620	77.955	401.768	67.806	153.874	214.022	261.847	354.084	260.861	143.227	258.881	413.776	
ENSG00000051523	268.684	229.041	73.376	158.461	256.901	63.592	40.927	48.706	98.402	64.917	160.768	18.988	3.561	204.472	108.318	163.827	110.868	1.995	2.518	73.781	240.833	41.293	13.004	835.976	377.557	481.722	110.765	87.089	28.441	40.065	92.075	7.465	121.954	134.827	67.236	216.122	36.991	309.871	48.382	114.165	7.790	75.651	79.162	309.246	282.858	181.720	902.159	61.094	45.975	68.829	248.963	1.930	29.335	82.122	123.872	10.970	41.476	
ENSG00000057608	89.756	128.675	179.447	119.317	115.233	131.628	146.505	127.488	131.368	179.282	120.834	69.648	109.469	45.850	42.666	41.117	168.557	53.653	58.504	73.443	53.314	60.797	105.953	48.772	89.826	68.075	130.450	114.069	74.604	44.994	58.729	59.217	126.103	132.072	110.956	100.085	63.232	51.813	79.838	50.656	58.573	32.867	57.624	117.311	147.042	94.522	114.180	110.298	191.671	108.089	79.383	98.186	111.278	76.812	132.714	115.153	126.253	
ENSG00000058262	98.896	133.368	93.769	172.062	188.409	43.529	73.899	60.346	106.144	82.445	89.744	182.621	184.522	68.099	40.238	44.747	69.154	112.401	98.542	199.472	246.632	178.158	126.935	141.847	100.874	62.187	34.931	49.400	41.554	34.444	54.295	44.553	89.403	104.890	220.129	94.434	89.307	113.994	61.096	242.794	88.207	39.371	88.401	94.012	139.290	55.701	53.047	90.803	64.931	126.313	138.017	190.597	229.519	265.917	83.498	177.467	301.208	
ENSG00000063046	124.196	142.077	131.750	78.761	108.747	164.469	95.173	119.797	98.255	127.881	87.913	64.400	85.671	151.957	176.754	191.234	220.599	41.722	50.051	85.936	55.414	38.544	66.647	41.635	72.317	111.059	157.827	74.400	91.599	36.341	67.001	63.651	114.335	115.413	76.676	126.255	52.292	63.160	206.223	62.435	129.285	42.785	42.226	81.880	112.238	104.182	93.114	158.655	173.638	213.803	117.529	72.550	82.511	54.014	143.420	107.965	113.989	
ENSG00000064666	90.891	265.777	503.696	239.945	267.135	199.129	147.429	159.922	95.423	210.593	262.906	147.046	182.245	173.126	138.751	186.816	78.755	82.292	67.674	106.983	345.588	538.777	207.799	131.304	63.827	158.961	64.655	38.322	18.286	2.557	81.477	20.202	16.833	10.943	28.557	126.417	33.571	171.364	161.498	55.727	1.752	44.527	46.903	84.231	31.533	116.053	147.677	18.220	24.177	10.355	45.949	237.354	143.293	174.748	34.833	179.247	222.354	
ENSG00000065427	140.195	105.246	157.210	72.247	71.870	88.632	104.588	87.878	114.069	139.443	86.509	120.623	100.138	82.137	80.158	81.987	120.394	56.518	63.763	88.664	83.155	108.254	132.207	63.608	68.713	65.416	77.991	57.925	76.341	36.803	60.792	55.811	58.670	59.053	66.516	105.732	111.149	111.681	84.421	62.038	172.400	87.679	117.934	102.481	113.052	78.268	88.687	150.888	160.162	180.452	122.438	150.409	133.094	68.528	248.349	157.643	111.968	
ENSG00000065978	477.809	647.946	1014.560	345.560	524.754	1139.720	490.726	539.340	504.273	660.783	427.708	299.364	258.661	175.557	138.695	159.901	263.304	330.883	283.550	436.170	545.633	580.628	410.088	548.165	364.007	172.564	1067.520	202.851	875.232	96.525	276.765	446.128	182.439	186.297	127.273	514.407	443.440	389.676	215.288	141.978	629.800	507.296	458.614	297.411	376.934	278.320	392.625	153.990	272.023	143.553	135.854	400.947	446.482	145.213	254.029	380.003	288.814	
ENSG00000067225	1105.950	411.123	311.131	529.281	619.015	244.135	765.581	372.781	599.988	503.573	590.197	396.109	853.712	168.104	125.169	104.664	133.478	485.791	322.010	1283.930	1754.010	2961.660	1255.270	1522.400	828.525	270.403	217.022	22.123	235.760	287.431	244.592	203.961	125.930	103.975	211.267	366.218	460.475	197.907	101.224	70.784	530.513	560.611	512.617	351.255	262.687	141.548	204.727	1307.220	1034.220	1047.170	564.384	2579.330	1546.970	468.967	507.921	1965.740	1173.060	
ENSG00000067560	252.715	214.755	304.692	341.347	364.869	320.909	183.524	204.400	311.292	252.552	216.664	229.169	259.024	207.036	165.711	176.634	338.379	187.849	192.638	259.656	324.422	330.221	300.201	390.628	359.041	320.465	586.080	182.509	188.359	160.029	213.937	71.623	165.502	157.722	250.219	395.195	209.266	256.245	250.419	100.187	212.750	113.563	222.884	266.294	283.752	296.222	315.241	203.342	189.539	136.016	97.256	317.841	521.831	227.115	104.115	275.951	496.548	
ENSG00000068697	137.311	422.195	293.110	536.908	321.755	220.182	142.157	171.517	181.332	142.417	236.357	207.099	194.124	75.141	32.295	38.701	145.534	74.636	86.955	157.811	138.645	114.542	125.428	282.724	257.509	95.221	293.281	256.525	148.823	69.336	164.000	56.110	166.883	155.076	259.857	157.426	148.936	163.316	422.077	83.424	86.839	200.939	174.442	140.001	201.785	147.633	105.781	304.216	77.189	343.584	403.214	196.225	392.930	345.834	91.602	273.228	562.700	
ENSG00000070756	627.105	1121.885	959.791	1454.990	546.304	925.830	263.324	531.923	433.759	510.242	674.243	356.290	776.849	949.036	968.762	1010.490	828.788	205.127	219.849	590.638	421.379	379.915	489.197	326.850	464.065	743.777	278.199	225.084	336.167	119.863	369.097	302.896	295.785	300.054	248.733	314.649	70.109	307.259	367.338	130.155	36.217	52.552	89.629	265.461	373.118	339.512	306.332	234.012	187.660	182.503	210.186	295.188	373.624	235.217	243.249	225.513	261.762	
ENSG00000072778	125.365	48.141	33.897	116.349	66.716	72.936	63.956	81.035	67.910	35.280	34.467	240.052	121.564	66.771	69.597	80.180	98.891	70.897	67.557	61.351	84.343	86.686	52.435	65.933	57.128	108.686	92.320	469.934	40.471	162.880	267.513	37.726	128.713	123.897	154.448	329.523	634.493	314.012	158.520	1148.240	305.700	644.949	751.611	245.801	226.324	324.319	275.437	93.790	78.155	182.410	168.247	134.174	92.531	116.505	122.066	136.834	61.841	
ENSG00000074800	943.404	377.137	549.009	295.101	274.496	198.612	619.918	358.032	383.467	627.649	603.307	499.740	392.848	94.404	96.116	102.482	443.719	407.698	223.130	504.794	757.558	882.828	580.101	601.699	292.736	154.550	179.412	143.975	169.081	199.119	237.366	96.254	189.020	179.485	112.714	205.388	143.737	293.440	96.559	69.151	46.726	58.660	211.096	340.932	344.306	110.621	180.589	588.640	1224.750	755.443	1259.340	1141.910	362.560	428.011	1335.680	704.231	383.146	
