"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"
"DNase"	478127	500264	524260	562411	550064	601203	619112	673524	1030283	954589	856442	966900	1160045	1381849	1692613	2105949	2737580	3705677	4379265	4473654	3653367	2552284	1810350	1572856	1448844	1360863	1223492	1176250	1116455	1042547	1010902	968493	912310	871900	825208	796988	792663	718569	685495	674828
"H2A.Z"	508037	532870	562481	598664	637344	685384	739655	804039	867219	935411	1012115	1086937	1149094	1207217	1240387	1219381	1148258	1050044	954448	955358	1086242	1247900	1333420	1385252	1364345	1288403	1228658	1183102	1132549	1073999	1022681	976301	927916	875195	834600	793148	751526	709377	673756	647985
"H3K27ac"	403426	424403	454700	486079	522490	564945	610436	658727	710747	770288	828164	876602	916153	946464	948757	914013	864613	823351	803462	837171	940988	1064687	1146481	1231060	1294284	1271705	1225095	1192745	1157884	1105973	1057923	1015686	969164	921095	878191	836596	793680	749476	714178	687576
"H3K27me3"	1308087	1302640	1317154	1327549	1330068	1338625	1340251	1349738	1356179	1355333	1365656	1369551	1376347	1376254	1372137	1365679	1360814	1364818	1373671	1409862	1460466	1504021	1533034	1553552	1562869	1558375	1553593	1558344	1553225	1539474	1539579	1533902	1527964	1515124	1503844	1493184	1488734	1472875	1462700	1468778
"H3K36me3"	848237	839794	840849	839257	834827	833504	826920	829264	828526	821192	823572	823116	823224	821659	825084	827315	836045	851195	868745	901247	933366	951918	952280	949151	937501	925358	911538	909004	900871	890733	885027	884740	881553	878520	875073	874032	876058	876377	877284	893554
"H3K4me1"	1753410	1767536	1794767	1821157	1844812	1865773	1879791	1901377	1912095	1910997	1916359	1905180	1879832	1850482	1806230	1739729	1675151	1627092	1587673	1588869	1618688	1643036	1662205	1684992	1693233	1691852	1697329	1714760	1728310	1738246	1768437	1797507	1821811	1844095	1875688	1907552	1929413	1949659	1962332	1992865
"H3K4me2"	718816	751853	796076	836548	883562	936385	986094	1037294	1083385	1134601	1186293	1219723	1241645	1261503	1248741	1186288	1092407	994390	912986	892253	952693	1030389	1094516	1162589	1204019	1203219	1217506	1253690	1283408	1296831	1328157	1360225	1377766	1376995	1386671	1390092	1374584	1346757	1325799	1315227
"H3K4me3"	2708202	2889272	3123144	3380938	3660551	3990560	4335175	4716064	5116745	5564693	6028609	6450446	6805388	7147898	7296138	7135539	6796931	6531270	6446771	6934491	8134822	9544236	10664932	11742078	12496668	12448669	12256393	12226175	12005241	11540456	11123660	10725216	10200806	9617861	9098035	8589762	8054130	7515234	7058249	6673640
"H3K79me2"	486906	485500	487212	488545	488945	492109	487444	485258	478105	470116	465738	454544	442816	430926	415922	395616	372872	352714	344333	361665	405521	460303	503624	545821	595115	627477	654839	699129	746170	776937	813568	857252	889124	910657	932662	955033	970854	978479	989500	1005734
"H3K9ac"	466879	494000	529472	568878	611490	662356	714024	768237	823941	884281	944800	990745	1025092	1051683	1043885	1000254	948097	903197	883752	937981	1089261	1266107	1375329	1498475	1618903	1634550	1606477	1594801	1572635	1518899	1467185	1422062	1364152	1296487	1236977	1178929	1115752	1051193	995462	950977
"H3K9me3"	877495	870067	881239	886593	878900	889006	889065	894152	898422	893349	894505	896904	902509	908651	905664	915634	923975	943148	969492	1002331	1041510	1064629	1065865	1062160	1048926	1033004	1011018	1008475	1001624	981433	975522	969189	958685	950516	939820	930481	931139	916128	903814	910168
"H4K20me1"	192095	190992	189830	190522	189525	188598	186373	186760	184204	184163	183183	182713	180722	179274	176385	173252	170870	169172	168777	172108	176419	180562	183637	187115	188006	187970	187205	189114	190236	191267	193006	196648	199833	202320	205145	207751	210065	212614	214962	220303
