files/experiment_read_counts.json
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 7.333333333333333e-07}, "H3K27me3": {"num_reads": 6.666666666666667e-07}, "H3K4me1": {"num_reads": 2.3333333333333333e-07}, "H3K9me3": {"num_reads": 1.9666666666666668e-06}, "H3K36me3": {"num_reads": 9e-07}}, "E117": {"H3K4me3": {"num_reads": 7.666666666666667e-07}, "H3K27me3": {"num_reads": 5e-07}, "H3K4me1": {"num_reads": 1.3333333333333334e-07}, "H3K9me3": {"num_reads": 1.933333333333333e-06}, "H3K36me3": {"num_reads": 2.3333333333333333e-07}}, "E116": {"H3K4me3": {"num_reads": 7e-07}, "H3K27me3": {"num_reads": 5e-07}, "H3K4me1": {"num_reads": 3.3333333333333335e-07}, "H3K9me3": {"num_reads": 4.866666666666667e-06}, "H3K36me3": {"num_reads": 5.056780984701444e-07}}, "location": 9912442, "E113": {"H3K4me3": {"num_reads": 2.9544012394776783e-06}, "H3K27me3": {"num_reads": 1.4232212257661006e-06}, "H3K4me1": {"num_reads": 2.322166720003477e-06}, "H3K9me3": {"num_reads": 7.909806921613043e-06}, "H3K36me3": {"num_reads": 3.5832137186920435e-06}}, "E112": {"H3K4me3": {"num_reads": 3.377268088816747e-07}, "H3K27me3": {"num_reads": 7.055133978293877e-07}, "H3K4me1": {"num_reads": 3.1959104618384644e-07}, "H3K9me3": {"num_reads": 5.9522726177488295e-06}, "H3K36me3": {"num_reads": 1.6798955899075539e-06}}, "read_dir": -1, "gene": "ENSG00000188681.7", "E119": {"H3K4me3": {"num_reads": 9.019579929600676e-07}, "H3K27me3": {"num_reads": 8.298582487207735e-07}, "H3K4me1": {"num_reads": 4.6666666666666666e-07}, "H3K9me3": {"num_reads": 7.672502518224934e-06}, "H3K36me3": {"num_reads": 1.0263770252309402e-06}}, "E118": {"H3K4me3": {"num_reads": 3.0582921493518196e-07}, "H3K27me3": {"num_reads": 7.893746330480476e-07}, "H3K4me1": {"num_reads": 1.3333333333333334e-07}, "H3K9me3": {"num_reads": 1.7666666666666668e-06}, "H3K36me3": {"num_reads": 9.202979418571866e-07}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 1.2333333333333333e-06}, "H3K27me3": {"num_reads": 2.3333333333333333e-07}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 2.6666666666666667e-07}, "H3K36me3": {"num_reads": 2.3333333333333333e-07}}, "E117": {"H3K4me3": {"num_reads": 1.5666666666666668e-06}, "H3K27me3": {"num_reads": 1e-07}, "H3K4me1": {"num_reads": 1e-07}, "H3K9me3": {"num_reads": 3.6666666666666667e-07}, "H3K36me3": {"num_reads": 1e-07}}, "E116": {"H3K4me3": {"num_reads": 5e-07}, "H3K27me3": {"num_reads": 2e-07}, "H3K4me1": {"num_reads": 1.3333333333333334e-07}, "H3K9me3": {"num_reads": 1.1333333333333334e-06}, "H3K36me3": {"num_reads": 1.3791220867367575e-07}}, "location": 9968548, "E113": {"H3K4me3": {"num_reads": 1.5953766693179463e-06}, "H3K27me3": {"num_reads": 1.2938374779691824e-07}, "H3K4me1": {"num_reads": 2.1907233207579974e-07}, "H3K9me3": {"num_reads": 1.399965826834167e-06}, "H3K36me3": {"num_reads": 3.9813485763244924e-07}}, "E112": {"H3K4me3": {"num_reads": 2.101411255263754e-06}, "H3K27me3": {"num_reads": 3.713228409628357e-08}, "H3K4me1": {"num_reads": 1.9175462771030784e-07}, "H3K9me3": {"num_reads": 1.5262237481407257e-06}, "H3K36me3": {"num_reads": 4.5815334270206014e-07}}, "read_dir": -1, "gene": "ENSG00000188681.7", "E119": {"H3K4me3": {"num_reads": 5.5244927068804135e-06}, "H3K27me3": {"num_reads": 1.2767049980319594e-07}, "H3K4me1": {"num_reads": 6.666666666666667e-08}, "H3K9me3": {"num_reads": 1.326823743753184e-06}, "H3K36me3": {"num_reads": 1.0803968686641476e-07}}, "E118": {"H3K4me3": {"num_reads": 7.156403629483258e-06}, "H3K27me3": {"num_reads": 7.550539968285673e-07}, "H3K4me1": {"num_reads": 2.3333333333333333e-07}, "H3K9me3": {"num_reads": 4.3333333333333335e-07}, "H3K36me3": {"num_reads": 1.7255586409822248e-07}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 6.666666666666667e-08}, "H3K27me3": {"num_reads": 1e-07}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 4e-07}, "H3K36me3": {"num_reads": 1e-07}}, "E117": {"H3K4me3": {"num_reads": 5.333333333333333e-07}, "H3K27me3": {"num_reads": 1.6666666666666668e-07}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 3.3333333333333335e-07}, "H3K36me3": {"num_reads": 3.3333333333333334e-08}}, "E116": {"H3K4me3": {"num_reads": 1.6666666666666668e-07}, "H3K27me3": {"num_reads": 1.6666666666666668e-07}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 3.6666666666666667e-07}, "H3K36me3": {"num_reads": 0.0}}, "location": 10990882, "E113": {"H3K4me3": {"num_reads": 7.090562974746428e-07}, "H3K27me3": {"num_reads": 3.881512433907547e-07}, "H3K4me1": {"num_reads": 3.5051573132127956e-07}, "H3K9me3": {"num_reads": 2.7299333623266257e-06}, "H3K36me3": {"num_reads": 1.9906742881622462e-07}}, "E112": {"H3K4me3": {"num_reads": 2.6267640690796924e-07}, "H3K27me3": {"num_reads": 5.569842614442535e-07}, "H3K4me1": {"num_reads": 1.9175462771030784e-07}, "H3K9me3": {"num_reads": 2.441957997025161e-06}, "H3K36me3": {"num_reads": 8.017683497286052e-07}}, "read_dir": -1, "gene": "ENSG00000166157.11", "E119": {"H3K4me3": {"num_reads": 3.006526643200225e-07}, "H3K27me3": {"num_reads": 1.2767049980319594e-07}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 1.961391621200359e-06}, "H3K36me3": {"num_reads": 0.0}}, "E118": {"H3K4me3": {"num_reads": 1.2233168597407278e-07}, "H3K27me3": {"num_reads": 1.02961908658441e-07}, "H3K4me1": {"num_reads": 6.666666666666667e-08}, "H3K9me3": {"num_reads": 1.2666666666666667e-06}, "H3K36me3": {"num_reads": 1.7255586409822248e-07}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 0.0}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 0.0}, "H3K36me3": {"num_reads": 0.0}}, "E117": {"H3K4me3": {"num_reads": 0.0}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 0.0}, "H3K36me3": {"num_reads": 0.0}}, "E116": {"H3K4me3": {"num_reads": 0.0}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 0.0}, "H3K36me3": {"num_reads": 0.0}}, "location": 10990883, "E113": {"H3K4me3": {"num_reads": 0.0}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 0.0}, "H3K36me3": {"num_reads": 0.0}}, "E112": {"H3K4me3": {"num_reads": 0.0}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 0.0}, "H3K36me3": {"num_reads": 0.0}}, "read_dir": -1, "gene": "ENSG00000166157.11", "E119": {"H3K4me3": {"num_reads": 0.0}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 5.7687988858834085e-08}, "H3K36me3": {"num_reads": 0.0}}, "E118": {"H3K4me3": {"num_reads": 0.0}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 0.0}, "H3K36me3": {"num_reads": 0.0}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 2.3333333333333333e-07}, "H3K27me3": {"num_reads": 4.6666666666666666e-07}, "H3K4me1": {"num_reads": 2e-07}, "H3K9me3": {"num_reads": 5e-07}, "H3K36me3": {"num_reads": 3.6666666666666667e-07}}, "E117": {"H3K4me3": {"num_reads": 2.3333333333333333e-07}, "H3K27me3": {"num_reads": 6.333333333333333e-07}, "H3K4me1": {"num_reads": 1.3333333333333334e-07}, "H3K9me3": {"num_reads": 4.6666666666666666e-07}, "H3K36me3": {"num_reads": 5.333333333333333e-07}}, "E116": {"H3K4me3": {"num_reads": 5e-07}, "H3K27me3": {"num_reads": 4e-07}, "H3K4me1": {"num_reads": 2.6666666666666667e-07}, "H3K9me3": {"num_reads": 8.666666666666667e-07}, "H3K36me3": {"num_reads": 3.217951535719101e-07}}, "location": 11029719, "E113": {"H3K4me3": {"num_reads": 5.908802478955357e-08}, "H3K27me3": {"num_reads": 2.587674955938365e-07}, "H3K4me1": {"num_reads": 2.1907233207579974e-07}, "H3K9me3": {"num_reads": 2.799931653668334e-07}, "H3K36me3": {"num_reads": 0.0}}, "E112": {"H3K4me3": {"num_reads": 3.0020160789482197e-07}, "H3K27me3": {"num_reads": 3.341905568665521e-07}, "H3K4me1": {"num_reads": 1.9175462771030784e-07}, "H3K9me3": {"num_reads": 3.815559370351814e-07}, "H3K36me3": {"num_reads": 3.0543556180137343e-07}}, "read_dir": -1, "gene": "ENSG00000166157.11", "E119": {"H3K4me3": {"num_reads": 2.630710812800197e-07}, "H3K27me3": {"num_reads": 3.1917624950798983e-07}, "H3K4me1": {"num_reads": 1e-07}, "H3K9me3": {"num_reads": 1.7306396657650226e-06}, "H3K36me3": {"num_reads": 5.401984343320738e-08}}, "E118": {"H3K4me3": {"num_reads": 2.4466337194814557e-07}, "H3K27me3": {"num_reads": 4.804889070727246e-07}, "H3K4me1": {"num_reads": 6.666666666666667e-08}, "H3K9me3": {"num_reads": 2.8666666666666666e-06}, "H3K36me3": {"num_reads": 5.176675922946674e-07}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 1.6e-06}, "H3K27me3": {"num_reads": 6.666666666666667e-07}, "H3K4me1": {"num_reads": 3.3333333333333335e-07}, "H3K9me3": {"num_reads": 3.6666666666666666e-06}, "H3K36me3": {"num_reads": 1.4e-06}}, "E117": {"H3K4me3": {"num_reads": 1.3e-06}, "H3K27me3": {"num_reads": 1.4e-06}, "H3K4me1": {"num_reads": 4.6666666666666666e-07}, "H3K9me3": {"num_reads": 2.9e-06}, "H3K36me3": {"num_reads": 5e-07}}, "E116": {"H3K4me3": {"num_reads": 1.4666666666666667e-06}, "H3K27me3": {"num_reads": 7e-07}, "H3K4me1": {"num_reads": 4.6666666666666666e-07}, "H3K9me3": {"num_reads": 4.333333333333333e-06}, "H3K36me3": {"num_reads": 6.435903071438202e-07}}, "location": 11098925, "E113": {"H3K4me3": {"num_reads": 2.9544012394776783e-06}, "H3K27me3": {"num_reads": 1.8113724691568554e-06}, "H3K4me1": {"num_reads": 2.1030943879276776e-06}, "H3K9me3": {"num_reads": 8.609789835030126e-06}, "H3K36me3": {"num_reads": 2.3888091457946956e-06}}, "E112": {"H3K4me3": {"num_reads": 1.3509072355266988e-06}, "H3K27me3": {"num_reads": 8.169102501182385e-07}, "H3K4me1": {"num_reads": 1.150527766261847e-06}, "H3K9me3": {"num_reads": 9.424431644768981e-06}, "H3K36me3": {"num_reads": 1.7562544803578971e-06}}, "read_dir": -1, "gene": "ENSG00000187172.11", "E119": {"H3K4me3": {"num_reads": 1.014702742080076e-06}, "H3K27me3": {"num_reads": 1.0851992483271654e-06}, "H3K4me1": {"num_reads": 4.6666666666666666e-07}, "H3K9me3": {"num_reads": 1.1191469838613814e-05}, "H3K36me3": {"num_reads": 4.861785908988664e-07}}, "E118": {"H3K4me3": {"num_reads": 1.5291460746759098e-06}, "H3K27me3": {"num_reads": 8.23695269267528e-07}, "H3K4me1": {"num_reads": 1.6666666666666668e-07}, "H3K9me3": {"num_reads": 1.0066666666666666e-05}, "H3K36me3": {"num_reads": 4.0263034956251913e-07}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 1e-07}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 1.6666666666666668e-07}, "H3K36me3": {"num_reads": 0.0}}, "E117": {"H3K4me3": {"num_reads": 1.3333333333333334e-07}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 1e-07}, "H3K36me3": {"num_reads": 3.3333333333333334e-08}}, "E116": {"H3K4me3": {"num_reads": 6.666666666666667e-08}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 1e-07}, "H3K36me3": {"num_reads": 4.597073622455859e-08}}, "location": 11098980, "E113": {"H3K4me3": {"num_reads": 5.908802478955357e-08}, "H3K27me3": {"num_reads": 1.2938374779691824e-07}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 2.0999487402512505e-07}, "H3K36me3": {"num_reads": 9.953371440811231e-08}}, "E112": {"H3K4me3": {"num_reads": 1.1257560296055823e-07}, "H3K27me3": {"num_reads": 3.713228409628357e-08}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 2.67089155924627e-07}, "H3K36me3": {"num_reads": 3.817944522517168e-08}}, "read_dir": -1, "gene": "ENSG00000187172.11", "E119": {"H3K4me3": {"num_reads": 0.0}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 5.191918997295068e-07}, "H3K36me3": {"num_reads": 0.0}}, "E118": {"H3K4me3": {"num_reads": 6.116584298703639e-08}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 6.666666666666667e-07}, "H3K36me3": {"num_reads": 0.0}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 2.3333333333333333e-07}, "H3K27me3": {"num_reads": 1e-07}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 3.6666666666666667e-07}, "H3K36me3": {"num_reads": 1.3333333333333334e-07}}, "E117": {"H3K4me3": {"num_reads": 6.666666666666667e-08}, "H3K27me3": {"num_reads": 1e-07}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 2e-07}, "H3K36me3": {"num_reads": 0.0}}, "E116": {"H3K4me3": {"num_reads": 3.3333333333333334e-08}, "H3K27me3": {"num_reads": 3.3333333333333334e-08}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 6.666666666666667e-07}, "H3K36me3": {"num_reads": 9.194147244911718e-08}}, "location": 14410651, "E113": {"H3K4me3": {"num_reads": 8.2723234705375e-07}, "H3K27me3": {"num_reads": 2.587674955938365e-07}, "H3K4me1": {"num_reads": 3.0670126490611963e-07}, "H3K9me3": {"num_reads": 2.3099436142763756e-06}, "H3K36me3": {"num_reads": 2.9860114322433694e-07}}, "E112": {"H3K4me3": {"num_reads": 1.5010080394741099e-07}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 1.2783641847353858e-07}, "H3K9me3": {"num_reads": 1.5643793418442438e-06}, "H3K36me3": {"num_reads": 3.436150070265451e-07}}, "read_dir": 1, "gene": "ENSG00000224309.3", "E119": {"H3K4me3": {"num_reads": 2.254894982400169e-07}, "H3K27me3": {"num_reads": 1.915057497047939e-07}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 1.3845117326120182e-06}, "H3K36me3": {"num_reads": 2.1607937373282952e-07}}, "E118": {"H3K4me3": {"num_reads": 1.2233168597407278e-07}, "H3K27me3": {"num_reads": 1.3728254487792131e-07}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 9.666666666666666e-07}, "H3K36me3": {"num_reads": 5.751862136607416e-08}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 3.3333333333333334e-08}, "H3K27me3": {"num_reads": 1e-07}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 3.3333333333333334e-08}, "H3K36me3": {"num_reads": 3.3333333333333334e-08}}, "E117": {"H3K4me3": {"num_reads": 3.3333333333333334e-08}, "H3K27me3": {"num_reads": 6.666666666666667e-08}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 1.3333333333333334e-07}, "H3K36me3": {"num_reads": 3.3333333333333334e-08}}, "E116": {"H3K4me3": {"num_reads": 6.666666666666667e-08}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 6.666666666666667e-08}, "H3K36me3": {"num_reads": 1.3791220867367575e-07}}, "location": 14415105, "E113": {"H3K4me3": {"num_reads": 5.908802478955357e-08}, "H3K27me3": {"num_reads": 6.469187389845912e-08}, "H3K4me1": {"num_reads": 4.3814466415159945e-08}, "H3K9me3": {"num_reads": 1.399965826834167e-07}, "H3K36me3": {"num_reads": 4.9766857204056155e-08}}, "E112": {"H3K4me3": {"num_reads": 3.7525200986852746e-08}, "H3K27me3": {"num_reads": 3.713228409628357e-08}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 3.0524474962814515e-07}, "H3K36me3": {"num_reads": 1.1453833567551504e-07}}, "read_dir": 1, "gene": "ENSG00000224309.3", "E119": {"H3K4me3": {"num_reads": 7.516316608000563e-08}, "H3K27me3": {"num_reads": 6.383524990159797e-08}, "H3K4me1": {"num_reads": 6.666666666666667e-08}, "H3K9me3": {"num_reads": 5.191918997295068e-07}, "H3K36me3": {"num_reads": 0.0}}, "E118": {"H3K4me3": {"num_reads": 0.0}, "H3K27me3": {"num_reads": 1.02961908658441e-07}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 3.6666666666666667e-07}, "H3K36me3": {"num_reads": 0.0}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 1.3333333333333334e-07}, "H3K27me3": {"num_reads": 3.3333333333333334e-08}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 1.6666666666666668e-07}, "H3K36me3": {"num_reads": 3.3333333333333334e-08}}, "E117": {"H3K4me3": {"num_reads": 1e-07}, "H3K27me3": {"num_reads": 3.3333333333333334e-08}, "H3K4me1": {"num_reads": 1e-07}, "H3K9me3": {"num_reads": 1.6666666666666668e-07}, "H3K36me3": {"num_reads": 1e-07}}, "E116": {"H3K4me3": {"num_reads": 1.3333333333333334e-07}, "H3K27me3": {"num_reads": 6.666666666666667e-08}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 2.3333333333333333e-07}, "H3K36me3": {"num_reads": 1.3791220867367575e-07}}, "location": 14760261, "E113": {"H3K4me3": {"num_reads": 5.908802478955357e-08}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 4.3814466415159945e-08}, "H3K9me3": {"num_reads": 6.999829134170835e-08}, "H3K36me3": {"num_reads": 0.0}}, "E112": {"H3K4me3": {"num_reads": 7.505040197370549e-08}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 1.1446678111055442e-07}, "H3K36me3": {"num_reads": 0.0}}, "read_dir": -1, "gene": "ENSG00000175302.4", "E119": {"H3K4me3": {"num_reads": 1.5032633216001125e-07}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 1e-07}, "H3K9me3": {"num_reads": 5.768798885883409e-07}, "H3K36me3": {"num_reads": 1.6205953029962215e-07}}, "E118": {"H3K4me3": {"num_reads": 1.2233168597407278e-07}, "H3K27me3": {"num_reads": 3.432063621948033e-08}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 7.333333333333333e-07}, "H3K36me3": {"num_reads": 0.0}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 1e-07}, "H3K27me3": {"num_reads": 1e-07}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 1e-07}, "H3K36me3": {"num_reads": 3.3333333333333334e-08}}, "E117": {"H3K4me3": {"num_reads": 6.666666666666667e-08}, "H3K27me3": {"num_reads": 1e-07}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 1.6666666666666668e-07}, "H3K36me3": {"num_reads": 0.0}}, "E116": {"H3K4me3": {"num_reads": 6.666666666666667e-08}, "H3K27me3": {"num_reads": 3.3333333333333334e-08}, "H3K4me1": {"num_reads": 1.6666666666666668e-07}, "H3K9me3": {"num_reads": 2.3333333333333333e-07}, "H3K36me3": {"num_reads": 1.3791220867367575e-07}}, "location": 14800094, "E113": {"H3K4me3": {"num_reads": 0.0}, "H3K27me3": {"num_reads": 1.9407562169537736e-07}, "H3K4me1": {"num_reads": 4.3814466415159945e-08}, "H3K9me3": {"num_reads": 1.399965826834167e-07}, "H3K36me3": {"num_reads": 4.9766857204056155e-08}}, "E112": {"H3K4me3": {"num_reads": 7.505040197370549e-08}, "H3K27me3": {"num_reads": 7.426456819256714e-08}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 2.67089155924627e-07}, "H3K36me3": {"num_reads": 0.0}}, "read_dir": -1, "gene": "ENSG00000175302.4", "E119": {"H3K4me3": {"num_reads": 3.758158304000281e-08}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 3.4612793315300455e-07}, "H3K36me3": {"num_reads": 5.401984343320738e-08}}, "E118": {"H3K4me3": {"num_reads": 6.116584298703639e-08}, "H3K27me3": {"num_reads": 3.432063621948033e-08}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 2.3333333333333333e-07}, "H3K36me3": {"num_reads": 0.0}}}
